chi_kappa,L,P_demand,S_supply,Deficit,Deficit_Ratio,Is_Vulnerable
0.02,0.32,0.019375430994726685,0.13851872591687042,-0.11914329492214373,-0.8601241033190378,0
0.02,0.33,0.020605316751227887,0.14066643113873722,-0.12006111438750934,-0.8535164602924691,0
0.02,0.34,0.021873045146390675,0.1427818345203098,-0.12090878937391912,-0.8468079274938902,0
0.02,0.35000000000000003,0.023178616180215026,0.1448663511263439,-0.12168773494612889,-0.84,0
0.02,0.36,0.024522029852700952,0.14692129562570974,-0.12239926577300879,-0.8330941083233284,0
0.02,0.37,0.02590328616384846,0.14894789198915584,-0.12304460582530738,-0.8260916229298878,0
0.02,0.38,0.027322385113657546,0.15094728201491164,-0.1236248969012541,-0.8189938583262569,0
0.02,0.39,0.028779326702128207,0.15292053285077611,-0.1241412061486479,-0.8118020767674683,0
0.02,0.4,0.030274110929260457,0.15486864365339206,-0.12459453272413161,-0.8045174916297695,0
0.02,0.41000000000000003,0.03180673779505425,0.1567925515026698,-0.12498581370761555,-0.7971412704862281,0
0.02,0.42000000000000004,0.03337720729950965,0.158693136670725,-0.12531592937121533,-0.7896745379180161,0
0.02,0.43000000000000005,0.0349855194426266,0.16057122732939869,-0.1255857078867721,-0.7821183780898886,0
0.02,0.44000000000000006,0.03663167422440514,0.16242760376778778,-0.12579592954338265,-0.7744738371146873,0
0.02,0.45000000000000007,0.03831567164484524,0.16426300218071477,-0.12594733053586954,-0.7667419252285913,0
0.02,0.4600000000000001,0.04003751170394695,0.16607811808031042,-0.12604060637636347,-0.7589236187961499,0
0.02,0.47000000000000003,0.0417971944017102,0.16787360937554646,-0.12607641497383626,-0.7510198621618566,0
0.02,0.48000000000000004,0.04359471973813502,0.16965009915838422,-0.1260553794202492,-0.7430315693630377,0
0.02,0.49000000000000005,0.04543008771322146,0.17140817822999468,-0.12597809051677322,-0.7349596257171371,0
0.02,0.5,0.04730329832696943,0.173148407396088,-0.12584510906911855,-0.7268048892949958,0
0.02,0.51,0.049214351579379,0.174871319556632,-0.12565696797725298,-0.7185681922904403,0
0.02,0.52,0.051163247470450146,0.1765774216120332,-0.12541417414158304,-0.7102503422953848,0
0.02,0.53,0.05314998600018286,0.17826719620510603,-0.12511721020492317,-0.7018521234886594,0
0.02,0.54,0.05517456716857717,0.17994110331579552,-0.12476653614721836,-0.6933742977459345,0
0.02,0.55,0.05723699097563301,0.18159958172358723,-0.12436259074795422,-0.6848176056773443,0
0.03,0.25,0.026608105308920313,0.12243441302142478,-0.09582630771250447,-0.7826746202126671,0
0.03,0.26,0.02877932670212821,0.1248590922263047,-0.09607976552417649,-0.7695055587144087,0
0.03,0.27,0.031035694032324652,0.1272375743687882,-0.09620188033646354,-0.756080747481321,0
0.03,0.28,0.033377207299509645,0.1295724035083433,-0.09619519620883364,-0.7424049689920241,0
0.03,0.29000000000000004,0.03580386650368319,0.13186589843702945,-0.09606203193334625,-0.7284827470327305,0
0.03,0.3,0.038315671644845235,0.1341201796534772,-0.09580450800863197,-0.7143183692130414,0
0.03,0.31,0.04091262272299586,0.1363371923209402,-0.09542456959794432,-0.699915906829834,0
0.03,0.32,0.04359471973813503,0.13851872591687042,-0.09492400617873539,-0.6852792324678352,0
0.03,0.33,0.04636196269026274,0.14066643113873722,-0.09430446844847448,-0.6704120356580553,0
0.03,0.34,0.049214351579379007,0.1427818345203098,-0.09356748294093079,-0.6553178368612529,0
0.03,0.35000000000000003,0.05215188640548381,0.1448663511263439,-0.0927144647208601,-0.64,0
0.03,0.36,0.05517456716857714,0.14692129562570974,-0.09174672845713261,-0.624461743727489,0
0.03,0.37,0.05828239386865905,0.14894789198915584,-0.09066549812049679,-0.6087061515922474,0
0.03,0.38,0.061475366505729455,0.15094728201491164,-0.08947191550918218,-0.5927361812340782,0
0.03,0.39,0.06475348507978845,0.15292053285077611,-0.08816704777098766,-0.5765546727268037,0
